R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
126,137.3,T.J. McConnell,PG,IND,54,22.1,0.537 (5.4/10.0),0.757 (0.9/1.2),0.3,11.9,3.2,6.1,1.3,0.2,1.8,-0.09
127,93.5,Naz Reid,"PF,C",MIN,80,26.2,0.465 (5.1/11.0),0.754 (1.4/1.8),2.2,13.8,5.7,1.8,0.8,0.9,1.4,-0.11
128,137.3,Daniel Gafford,C,DAL,60,22,0.677 (4.2/6.2),0.684 (1.7/2.5),0,10.1,6.6,1.3,0.6,1.5,0.9,-0.13
129,,Cedric Coward,"SG,SF",MEM,65,23.4,0.470 (3.7/8.0),0.815 (2.8/3.5),1.6,11.9,4.6,2.4,1,0.7,1.5,-0.23
130,112.7,Reed Sheppard,"PG,SG",HOU,68,27.6,0.420 (3.7/8.8),0.821 (1.2/1.4),1.9,10.5,2.8,4.4,1.3,0.6,1.3,-0.26
131,142.4,Kelly Oubre Jr.,"SF,PF",PHI,64,32.4,0.458 (6.0/13.1),0.753 (2.5/3.4),1.4,15.9,5.7,1.7,1.4,0.6,1.3,-0.27
132,139.3,Collin Sexton,"PG,SG",CHA,70,27.3,0.484 (6.1/12.5),0.861 (3.5/4.1),1.6,17.2,2.5,3.7,0.7,0.2,2.1,-0.35
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
133,124.4,Cason Wallace,"PG,SG",OKC,72,28.5,0.482 (3.6/7.5),0.800 (0.5/0.6),1.4,9.1,3.4,2.4,1.6,0.6,0.8,-0.38
134,109.9,Kevin Porter Jr.,"PG,SG",MIL,75,29.8,0.449 (5.4/12.0),0.772 (2.4/3.1),1,14.2,5.1,4.7,1.5,0.2,2.5,-0.39
135,73.6,Andrew Nembhard,"PG,SG",IND,69,30.9,0.464 (4.6/10.0),0.797 (1.9/2.3),1.2,12.3,3.1,5.8,1.3,0.2,1.9,-0.44
136,87.4,Shaedon Sharpe,"SG,SF",POR,70,32.2,0.447 (6.8/15.1),0.797 (2.8/3.6),2.2,18.6,4.8,3.1,0.9,0.3,2.2,-0.5
137,121.5,Brandin Podziemski,"PG,SG",GS,70,30.3,0.450 (4.7/10.4),0.696 (1.0/1.5),2,12.4,5.8,4,1.2,0.2,1.4,-0.52
138,140.2,Ayo Dosunmu,"SG,SF",CHI,65,30.4,0.498 (5.0/9.9),0.796 (1.3/1.6),1.5,12.7,3.2,3.8,1,0.5,1.5,-0.54
139 1,118.1,Bobby Portis,"PF,C",MIL,65,23.9,0.491 (5.5/11.3),0.810 (1.2/1.5),1.2,13.5,7.6,1.6,0.8,0.4,1.1,-0.59
140 1,,Robert Williams III,C,POR,30,17.6,0.644 (2.5/3.9),0.847 (0.8/1.0),0,5.9,5.9,1,0.8,1.5,0.9,-0.66
141,,Jarace Walker,"SF,PF",IND,54,28.1,0.459 (4.1/9.0),0.685 (1.0/1.5),1.9,11.1,5.6,2.9,1.1,0.7,1.8,-0.74
142 2,143.9,Bilal Coulibaly,"SG,SF",WAS,62,33.1,0.433 (4.6/10.7),0.728 (2.2/3.1),1.2,12.7,5.3,3.6,1.3,0.8,2,-0.85
143 1,115.9,Jaden Ivey,"PG,SG",DET,47,29.4,0.445 (6.2/14.0),0.745 (3.2/4.3),2.4,18,4,4.3,0.9,0.5,2.9,-0.91
144 1,140.9,Obi Toppin,PF,IND,40,25.3,0.509 (5.1/10.0),0.778 (1.3/1.7),1.7,13.1,5,2,0.7,0.6,1.1,-0.94
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
145 1,140.4,Grayson Allen,"SG,SF",PHO,60,26.4,0.442 (3.9/8.8),0.852 (1.6/1.8),2.5,11.8,3.4,2.5,0.9,0.5,1.2,-0.99
146 1,71.4,Josh Hart,"SG,SF,PF",NY,76,28.5,0.479 (3.5/7.3),0.783 (1.3/1.6),0.8,9.1,7.1,4,1,0.3,1.4,-1.01
147 1,114.7,D'Angelo Russell,PG,DAL,67,27.1,0.431 (4.9/11.3),0.830 (1.9/2.2),2,13.6,2.6,5.1,0.8,0.4,1.8,-1.02
