R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
448 8,,Jericho Sims,C,MIL,49,12.5,0.656 (0.9/1.3),0.658 (0.3/0.4),0,2,3.6,0.6,0.2,0.4,0.5,-9.86
449 8,,Gui Santos,"SF,PF",GS,39,11,0.469 (1.3/2.7),0.754 (0.5/0.7),0.5,3.6,2.6,1.1,0.3,0.1,0.6,-9.86
450 8,,Nigel Hayes,,PHO,30,12.2,0.433 (1.3/3.0),0.000 (0.0/0.0),0.3,2.8,2.3,0.5,0.8,0,0.3,-9.87
451 8,,Lindy Waters III,"SG,SF",SA,45,11.2,0.401 (1.5/3.8),0.786 (0.1/0.1),1.1,4.2,1.6,0.8,0.3,0.2,0.3,-9.93
452 8,,Johni Broome,C,PHI,30,12.4,0.493 (2.2/4.5),0.587 (1.0/1.7),0.2,5.7,3.3,0.9,0.3,0.6,0.5,-9.94
453 8,,Thomas Sorber,C,OKC,40,10.4,0.515 (1.4/2.7),0.712 (0.8/1.1),0.1,3.6,2.1,0.6,0.4,0.5,0.6,-9.94
454 8,,Bojan Bogdanovic,"SF,PF",FA,30,13.9,0.453 (2.5/5.6),0.787 (1.0/1.2),1.1,7.1,1.3,0.8,0.3,0,0.8,-9.95
455 8,,Oshae Brissett,"SF,PF",FA,30,17.6,0.452 (2.0/4.4),0.596 (1.3/2.2),0.5,5.8,4.2,1.1,0.5,0.3,0.6,-9.98
456 7,,Kessler Edwards,"PF,C",FA,47,10.1,0.466 (1.2/2.5),0.800 (0.2/0.3),0.5,3,1.8,0.7,0.3,0.3,0.2,-10.03
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
457 67,,Trevelin Queen,"SG,SF",FA,22,12.8,0.378 (1.5/4.0),0.819 (0.6/0.7),0.5,4.2,1.6,1.2,0.8,0.3,0.6,-10.06
458 7,,Christian Koloko,C,LAL,37,9.2,0.606 (1.1/1.8),0.711 (0.3/0.4),0,2.5,2.5,0.4,0.2,0.4,0.3,-10.07
459 6,,Ousmane Dieng,"PF,C",OKC,30,11,0.428 (1.5/3.5),0.783 (0.4/0.5),0.6,4,1.9,1,0.4,0.2,0.5,-10.11
460 6,,Kyle Lowry,PG,PHI,40,10.4,0.412 (0.9/2.2),0.833 (0.4/0.5),0.6,2.8,1.2,1.6,0.4,0.1,0.5,-10.15
461 4,,Jamal Cain,"SG,SF",ORL,31,11.8,0.431 (1.6/3.7),0.711 (0.8/1.1),0.6,4.6,1.9,0.5,0.5,0.2,0.5,-10.18
462 3,,Svi Mykhailiuk,SF,UTA,30,12,0.400 (1.8/4.5),0.778 (0.4/0.5),1.2,5.1,1.5,1.2,0.3,0.1,0.7,-10.2
463 3,,GG Jackson II,"SF,PF",MEM,42,11.8,0.414 (2.3/5.5),0.741 (1.0/1.4),1,6.5,2.1,0.6,0.3,0.2,0.7,-10.21
464 1,,Caleb Houstan,"SG,SF",ATL,40,13.7,0.404 (1.4/3.4),0.838 (0.3/0.4),1.2,4.3,1.4,0.6,0.3,0.1,0.3,-10.22
465 67,,Kevin Love,"PF,C",UTA,20,10.4,0.421 (1.8/4.2),0.769 (0.9/1.2),1,5.4,3.9,1.2,0.3,0.1,0.6,-10.22
466,,Patty Mills,PG,FA,30,12,0.361 (1.4/3.7),0.976 (0.4/0.4),0.8,3.9,0.9,1,0.5,0.1,0.5,-10.26
467,,Asa Newell,PF,ATL,40,11.4,0.510 (1.6/3.1),0.758 (0.9/1.2),0.2,4.4,2,0.3,0.3,0.3,0.3,-10.28
468 1,,Jaden Springer,SG,NO,46,9.4,0.394 (1.0/2.6),0.770 (0.7/0.9),0.2,3,1.5,0.8,0.7,0.2,0.5,-10.33
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
469 64,,Elfrid Payton,"PG,SG",FA,20,13.3,0.325 (1.1/3.4),0.579 (0.1/0.2),0,2.4,2.2,4.6,0.7,0.3,1.6,-10.38
470 1,,Alex Len,C,FA,46,8.8,0.568 (0.9/1.6),0.545 (0.3/0.6),0,2.1,2.4,1,0.2,0.6,0.5,-10.38
471 3,,A.J. Lawson,"SG,SF",TOR,34,13.1,0.430 (2.2/5.2),0.671 (1.0/1.4),0.8,6.2,2.3,0.9,0.4,0.2,0.5,-10.49
472 64,,Killian Hayes,PG,FA,20,15.5,0.414 (1.7/4.1),0.701 (0.5/0.8),0.4,4.3,1.7,2.9,0.5,0.3,0.7,-10.51
473 5,,Cory Joseph,PG,FA,38,11.8,0.392 (1.1/2.9),0.727 (0.2/0.3),0.7,3.2,1.4,1.5,0.4,0.1,0.4,-10.56
474 6,,Lester Quinones,"SG,SF",FA,25,12.4,0.398 (1.9/4.8),0.736 (0.7/0.9),1,5.4,2,1.3,0.2,0.1,0.7,-10.6
475 6,,JT Thor,PF,FA,41,12.4,0.435 (1.3/2.9),0.627 (0.3/0.5),0.4,3.3,2.4,0.4,0.2,0.4,0.3,-10.62
476 64,,Leonard Miller,PF,MIN,15,6.8,0.542 (1.6/2.9),0.902 (0.7/0.8),0.2,4,2.5,0.7,0.3,0.2,0.3,-10.67
477 62,,Marcus Bagley,,FA,10,12.3,0.390 (1.3/3.3),0.792 (0.4/0.5),0.2,3.2,3.4,0.5,0.4,0.6,0.3,-10.73
478 7,,Patrick Baldwin Jr.,PF,LAC,31,8.7,0.410 (1.1/2.8),0.660 (0.3/0.5),0.6,3.2,2.2,0.5,0.3,0.3,0.4,-10.75
479 7,,Taj Gibson,"PF,C",FA,28,10.6,0.470 (1.1/2.3),0.632 (0.2/0.4),0.1,2.5,2.7,0.6,0.2,0.4,0.5,-10.75
480 63,,Keion Brooks Jr.,,FA,14,11.7,0.466 (2.0/4.3),0.737 (0.9/1.2),0.6,5.5,2.3,0.5,0.4,0.4,0.5,-10.77
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
481 8,,Dwight Powell,C,DAL,40,8.6,0.676 (0.7/1.1),0.687 (0.6/0.8),0,2,2.1,0.9,0.3,0.3,0.3,-10.81
482 63,,Cam Spencer,SG,MEM,10,10.1,0.413 (1.4/3.3),1.000 (0.8/0.8),0.8,4.3,1.2,1.4,0.4,0,0.2,-10.82
483 9,,Zeke Nnaji,"PF,C",DEN,30,8.3,0.481 (1.0/2.1),0.653 (0.5/0.8),0.2,2.6,1.5,0.4,0.3,0.5,0.3,-10.89
484 11,,Kenyon Martin Jr.,"SF,PF",UTA,30,10.8,0.546 (1.4/2.5),0.672 (0.4/0.6),0.2,3.3,1.7,0.7,0.3,0.2,0.4,-10.94
485 11,,Jaylon Tyson,SF,CLE,47,9.6,0.429 (1.4/3.2),0.804 (0.4/0.5),0.4,3.6,2.1,0.9,0.3,0.1,0.6,-10.94
486 63,,Dario Saric,C,SAC,20,10.2,0.453 (1.6/3.5),0.840 (0.7/0.8),0.6,4.5,2.6,1.3,0.3,0.1,0.7,-10.95
487 11,,Ariel Hukporti,C,NY,25,8.7,0.680 (0.9/1.3),0.453 (0.2/0.5),0,1.9,2.1,0.4,0,0.6,0.9,-10.98
488 11,,Doug McDermott,"SF,PF",SAC,30,11.1,0.432 (1.6/3.6),0.591 (0.1/0.2),1.2,4.5,0.7,0.7,0.2,0,0.3,-10.99
489 11,,Kobe Bufkin,"PG,SG",BKN,30,11.9,0.375 (2.0/5.2),0.653 (0.6/1.0),0.5,5.1,2,1.7,0.4,0.3,0.7,-11
490 66,,P.J. Tucker,PF,FA,17,17.5,0.368 (0.7/1.9),1.000 (0.1/0.1),0.5,2,3,0.5,0.6,0.3,0.3,-11
491 10,,Tyler Kolek,PG,NY,30,12.2,0.426 (2.0/4.7),0.000 (0.0/0.0),0.7,4.7,0.7,2,0.3,0,1.3,-11
492 11,,Caleb Love,,POR,30,11.2,0.200 (2.0/10.0),0.000 (0.0/0.0),1,5,4,1,0,0,0,-11.05
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
493 11,,Yanic Konan Niederhauser,C,LAC,30,8.4,0.535 (1.2/2.3),0.664 (0.8/1.1),0,3.2,1.6,0.2,0.2,0.6,0.4,-11.06
494 12,,Wendell Moore Jr.,SF,FA,30,8.4,0.474 (1.0/2.1),0.818 (0.3/0.3),0.2,2.5,1.6,0.7,0.4,0.1,0.5,-11.1
495 15,,Liam McNeeley,SF,CHA,40,12.4,0.383 (1.3/3.3),0.850 (1.2/1.4),0.5,4.2,1.7,0.7,0.2,0.1,0.6,-11.13
496 64,,Kevin Knox II,"SF,PF",FA,22,12,0.469 (2.0/4.2),0.875 (0.5/0.6),0.7,5.1,1.7,0.5,0.3,0.2,0.5,-11.3
497 16,,Pelle Larsson,"SG,SF",MIA,40,10.2,0.438 (1.2/2.7),0.675 (0.5/0.8),0.4,3.3,1.2,0.9,0.4,0.1,0.3,-11.35
498 18,,Isaac Jones,"PF,C",SAC,40,7.6,0.648 (1.4/2.1),0.637 (0.6/0.9),0.1,3.4,1.4,0.3,0.1,0.3,0.4,-11.38
499 19,,Elijah Harkless,,UTA,30,12.1,0.333 (1.0/3.0),0.500 (0.5/1.0),0.5,3,1.5,1,1,0,0,-11.41
500 21,,Noah Penda,SF,ORL,44,10.4,0.429 (1.0/2.3),0.670 (0.6/0.9),0.3,2.9,1.6,0.8,0.3,0.3,0.5,-11.43
501 21,,Rayan Rupert,"PG,SG",POR,45,12.5,0.369 (1.3/3.5),0.766 (0.5/0.6),0.5,3.6,1.9,1,0.3,0.1,0.7,-11.46
502 24,135.7,Bronny James,"PG,SG",LAL,30,9.7,0.315 (1.1/3.6),0.776 (0.6/0.8),0.5,3.4,1,1.2,0.5,0.2,0.7,-11.57
503 24,,MarJon Beauchamp,"SG,SF",FA,41,8.6,0.468 (1.2/2.6),0.709 (0.4/0.6),0.5,3.3,1.6,0.5,0.2,0.1,0.5,-11.59
504 25,,Chris Duarte,SG,FA,38,8.3,0.390 (1.0/2.5),0.791 (0.3/0.4),0.5,2.8,1.3,0.6,0.3,0.1,0.3,-11.59
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
505 55,,Brandon Williams,PG,DAL,20,8.7,0.489 (1.7/3.5),0.795 (1.0/1.2),0.4,4.8,1,1.4,0.4,0.1,0.7,-11.73
506 24,,Hugo González,SF,BOS,30,12.4,0.409 (1.0/2.5),0.701 (0.6/0.9),0.4,3,1.5,0.5,0.3,0.3,0.5,-11.76
507 55,,Torrey Craig,"SF,PF",FA,10,10.9,0.428 (1.2/2.8),0.718 (0.3/0.4),0.7,3.3,2.3,0.6,0.3,0.3,0.3,-11.76
508 24,,Joan Beringer,C,MIN,40,8.4,0.525 (0.7/1.4),0.567 (0.3/0.6),0,1.8,1.6,0.2,0.2,0.5,0.2,-11.79
509 25,,Dillon Jones,"SF,PF",WAS,30,10.2,0.382 (1.0/2.5),0.615 (0.3/0.5),0.3,2.5,2.3,1.1,0.3,0.1,0.5,-11.88
510 52,,Jordan McLaughlin,"PG,SG",SA,20,9,0.438 (0.9/2.1),0.744 (0.3/0.4),0.6,2.7,1,1.6,0.5,0.1,0.3,-11.89
511 50,,Jaylen Nowell,SG,FA,10,18.7,0.398 (3.0/7.5),0.697 (0.7/1.0),0.7,7.3,2.2,1.8,0.3,0.3,0.7,-11.92
512 24,,Jevon Carter,"PG,SG",CHI,32,7.2,0.377 (1.1/2.8),0.778 (0.1/0.1),0.6,2.8,0.5,0.7,0.3,0.1,0.3,-11.98
513 25,,Bryce McGowens,"PG,SG",NO,36,8.7,0.430 (1.0/2.4),0.773 (0.7/0.9),0.3,3,1,0.5,0.2,0.1,0.3,-12.04
514 25,,Chaz Lanier,SG,DET,40,8.7,0.421 (1.3/3.1),0.778 (0.4/0.5),0.7,3.7,0.8,0.2,0.2,0,0.2,-12.05
515 26,,Will Riley,SF,WAS,40,10.4,0.423 (1.4/3.2),0.723 (0.7/1.0),0.4,3.8,1.3,0.7,0.1,0.1,0.4,-12.05
516 26,,Johnny Davis,"SG,SF",FA,42,9.7,0.406 (1.1/2.7),0.578 (0.3/0.5),0.2,2.7,1.3,0.5,0.4,0.2,0.2,-12.06
517 27,,Tristan Thompson,C,FA,44,9.7,0.545 (1.2/2.1),0.272 (0.3/0.9),0,2.6,3.4,0.8,0.2,0.3,0.5,-12.1
518 45,,Daeqwon Plowden,"SF,PF",SAC,6,5.9,0.639 (1.3/2.1),1.000 (0.2/0.2),0.8,3.6,0.9,0.2,0,0,0.3,-12.23
519 28,,Tyrese Proctor,,CLE,30,12.7,0.213 (1.0/4.7),0.000 (0.0/0.0),0.7,2.7,1.3,1,0.7,0,1.3,-12.24
520 45,,Kylor Kelley,,FA,11,11.5,0.635 (1.3/2.0),0.598 (0.6/0.9),0,3.1,3.6,0.5,0.1,0.3,0.4,-12.24
521 44,,Tolu Smith,,DET,2,8.4,0.667 (2.3/3.4),0.667 (0.8/1.1),0,5.3,3,0,0,0,0.8,-12.29
522 43,,Dariq Whitehead,"SG,SF",BKN,11,12.1,0.396 (1.8/4.6),0.563 (0.2/0.3),1.5,5.3,1.5,0.7,0.3,0.1,0.7,-12.36
523 40,,Nae'Qwan Tomlin,,CLE,5,12.7,0.406 (2.6/6.5),0.726 (1.6/2.2),0.4,7.3,4.3,0.4,0,0.2,0.4,-12.47
524 27,,Kobe Brown,"PF,C",LAC,30,5.9,0.434 (0.6/1.5),0.625 (0.1/0.1),0.2,1.5,1.1,0.4,0.2,0.1,0.2,-12.48
525 41,,Colin Castleton,"PF,C",ORL,21,10.2,0.481 (1.2/2.4),0.793 (0.7/0.9),0,3.1,2.8,0.7,0.2,0.2,0.6,-12.52
526 27,,Maxwell Lewis,"SG,SF",BKN,31,7.4,0.379 (0.9/2.2),0.696 (0.2/0.2),0.4,2.2,1,0.4,0.2,0.1,0.4,-12.53
527 39,,Colby Jones,"SG,SF",DET,10,9.8,0.436 (1.2/2.8),0.641 (0.4/0.6),0.3,3.1,1.8,0.9,0.5,0.3,0.5,-12.61
528 26,,Hunter Tyson,"SF,PF",DEN,30,5.3,0.377 (0.6/1.7),0.758 (0.3/0.3),0.3,1.8,1,0.3,0.1,0.1,0.2,-12.67
529 36,,Reece Beekman,PG,BKN,16,11,0.328 (0.8/2.5),0.760 (0.4/0.5),0.2,2.2,0.9,1.5,0.8,0.1,0.5,-12.74
530 36,,Garrett Temple,"PG,SG",TOR,20,9.4,0.343 (0.9/2.5),0.841 (0.5/0.6),0.3,2.6,1.4,1.1,0.5,0.1,0.4,-12.74
531 24,,Olivier-Maxence Prosper,"PF,C",MEM,40,6.8,0.394 (0.8/2.1),0.655 (0.6/0.9),0.2,2.4,1.5,0.5,0.3,0.1,0.2,-12.87
532 27,,Tosan Evbuomwan,"SF,PF",NY,22,10.4,0.446 (1.3/3.0),0.730 (0.7/1.0),0.4,3.8,1.8,0.7,0.3,0.2,0.5,-12.94
533 25,,Yuki Kawamura,,CHI,22,8.2,0.383 (1.0/2.6),0.788 (0.6/0.8),0.6,3.3,1.1,2,0.2,0,0.5,-12.98
534 25,,Jalen Pickett,"PG,SG",DEN,20,9.1,0.426 (1.1/2.5),0.714 (0.1/0.1),0.6,2.8,1,1.5,0.3,0.1,0.4,-12.98
535 24,,Damion Baugh,"PG,SG",FA,15,13.7,0.322 (1.4/4.3),0.878 (0.4/0.5),0.4,3.6,1.6,1.8,0.5,0.1,1,-13.03
536 24,,KJ Simpson,PG,CHA,16,10.4,0.363 (1.4/3.8),0.823 (0.5/0.6),0.4,3.6,1.4,1.4,0.4,0.1,0.7,-13.05
537 23,,Isaiah Mobley,"SF,PF",FA,5,12.3,0.387 (1.7/4.3),0.333 (0.1/0.4),0.6,4,2,1.5,0.4,0.1,0.3,-13.25
538 21,,Tyler Smith,"PF,C",MIL,14,5.3,0.482 (1.1/2.2),0.743 (0.3/0.4),0.6,3,1.1,0.2,0.1,0.2,0.4,-13.3
539 20,,Antonio Reeves,"SG,SF",CHA,14,8,0.461 (1.4/3.0),0.791 (0.3/0.4),0.6,3.8,0.8,0.5,0.3,0.1,0.4,-13.33
540 20,,Jackson Rowe,,GS,6,8.6,0.469 (1.3/2.9),0.495 (0.5/1.0),0.5,3.7,1.9,0.7,0.7,0,0.2,-13.33
541 18,,Adou Thiero,SF,LAL,20,10.4,0.488 (1.5/3.0),0.679 (1.3/1.8),0.1,4.3,1.6,0.5,0.5,0.2,0.5,-13.39
542 18,,Jeff Green,PF,HOU,20,7.1,0.468 (1.0/2.1),0.811 (0.6/0.7),0.4,2.9,1,0.4,0.1,0.2,0.2,-13.46
543 18,,Cole Swider,PF,FA,14,10.9,0.366 (1.6/4.3),0.692 (0.1/0.1),1.1,4.3,1.5,0.3,0.2,0.1,0.5,-13.48
544 16,,Drew Timme,,BKN,10,10.4,0.441 (1.9/4.2),0.621 (0.4/0.7),0.4,4.5,2.7,0.8,0.2,0,0.6,-13.52
545 12,,Jaylen Martin,,WAS,10,7.9,0.419 (1.0/2.5),0.909 (0.3/0.3),0.2,2.6,1.5,0.6,0.3,0,0.4,-13.81
546 11,,Tyson Etienne,,BKN,7,11.4,0.328 (1.3/4.0),0.803 (0.6/0.8),1,4.2,0.7,0.9,0.2,0.1,0.6,-13.94
547 10,,Jordan Miller,SF,LAC,20,7.4,0.441 (1.1/2.4),0.806 (0.5/0.6),0.2,2.8,1.1,0.6,0.3,0.1,0.5,-13.99
548 8,,Jalen Hood-Schifino,"SG,SF",FA,18,13.1,0.329 (1.5/4.5),0.734 (0.9/1.3),0.5,4.4,1.3,1.4,0.3,0.3,0.8,-14.05
549 6,,Taze Moore,,FA,3,10,0.345 (1.7/4.9),0.507 (0.3/0.7),0.3,4,2.7,1,0.7,0,0.8,-14.1
550 5,,Orlando Robinson,C,ORL,10,5,0.459 (0.7/1.6),0.756 (0.3/0.5),0.1,1.9,1.4,0.5,0.1,0.1,0.3,-14.19
551 5,,Joe Ingles,SF,MIN,20,6,0.424 (0.5/1.2),0.813 (0.1/0.2),0.3,1.5,0.7,1.1,0.2,0,0.4,-14.25
552 4,,Jamaree Bouyea,PG,MIL,10,8.4,0.401 (0.9/2.2),0.667 (0.2/0.3),0.1,2.1,1.3,1.1,0.3,0.1,0.9,-14.42
553 4,,Ron Harper Jr.,SF,BOS,8,8.3,0.126 (0.4/3.3),1.000 (0.8/0.8),0,1.6,2.8,1.2,0,0,0,-14.46
554 4,,DeAndre Jordan,C,NO,10,4.7,0.637 (0.7/1.0),0.451 (0.2/0.5),0,1.5,1.9,0.4,0.1,0.2,0.3,-14.53
555 3,,Jacob Toppin,,ATL,13,4.3,0.454 (0.5/1.2),1.000 (0.1/0.1),0.2,1.4,0.8,0.3,0.1,0,0.2,-14.58
556,,James Johnson,PF,IND,10,4.1,0.337 (0.4/1.0),0.667 (0.1/0.2),0,0.8,0.5,0.6,0.3,0.2,0.4,-15.16
557,,Chris Livingston,SF,CLE,20,5.1,0.403 (0.5/1.3),0.750 (0.4/0.5),0,1.5,1.5,0.3,0.2,0,0.3,-15.23
